,Nodes,Edges,Latitude,Longitude
97,"National Key Laboratory on High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China","[""School of Materials Engineering, Nanyang Technological University, Singapore""]",43.8844201,125.3180998
98,"Department of Electrical Engineering, Arizona State University, Tempe, AZ, USA","[""Department of Manufacturing and Aeronautical Engineering, Arizona State University, Mesa, AZ, USA""]",34.395342,-111.763275
99,"Department of Manufacturing and Aeronautical Engineering, Arizona State University, Mesa, AZ, USA","[""Department of Electrical Engineering, Arizona State University, Tempe, AZ, USA""]",34.395342,-111.763275
100,"Sony Semiconductor Corporation, Kikuchi, Japan","[""Department of Systems Science, Kyoto University, Kyoto, Japan""]",32.9798234,130.8131987
101,"Department of Systems Science, Kyoto University, Kyoto, Japan","[""Sony Semiconductor Corporation, Kikuchi, Japan""]",35.021041,135.7556075
102,"Department of Industrial and Management Engineering, Pohang University of Science and Technology, Pohang, South Korea","[""Semiconductor Research and Development Center, Samsung Electronics Company Ltd., Hwaseong, South Korea""]",36.0189315,129.3429384
103,"Semiconductor Research and Development Center, Samsung Electronics Company Ltd., Hwaseong, South Korea","[""Department of Industrial and Management Engineering, Pohang University of Science and Technology, Pohang, South Korea""]",37.1994653,126.8312632
104,"Aixtron AG, Aachen, Germany",[],50.776351,6.083862
105,"Department of Electrical Engineering, Princeton University, Princeton, NJ, USA",[],40.0757384,-74.4041622
106,"Mechanical and Nuclear Engineering Department, Kansas State University, Manhattan, KS, USA","[""Mechanical and Nuclear Engineering Department and the Semiconductor Materials and Radiological Technologies (S.M.A.R.T.) Laboratory, Kansas State University, Manhattan, KS, USA""]",38.27312,-98.5821872
107,"Mechanical and Nuclear Engineering Department and the Semiconductor Materials and Radiological Technologies (S.M.A.R.T.) Laboratory, Kansas State University, Manhattan, KS, USA","[""Mechanical and Nuclear Engineering Department, Kansas State University, Manhattan, KS, USA""]",38.27312,-98.5821872
108,"Science and Technology Division, Corning, Inc.orporated, Corning, NY, USA",[],43.1561681,-75.8449946
